Symbol,Sector,EPS Next 5Y,Market Cap,Total Assets,Total Debts,Free Cash Flow,Beta,P/E Ratio
AAPL,Technology,0.1793,2221286359040,323888000000,113896000000,73365000000,1.208152,29.919085
ADBE,Technology,0.1847,277077458944,24284000000,5500000000,5308000000,0.947826,50.23921
BA,Industrials,0.1233,145255104512,152136000000,75087000000,-19713000000,1.627717,
BYND,Consumer Defensive,-0.069,9334028288,468006000,no data,-115461000,1.61423,
CAT,Industrials,0.1906,118491807744,78324000000,25674000000,4212000000,0.916304,34.587463
DIS,Communication Services,0.517,324049469440,201549000000,62337000000,3596000000,1.196195,
DOCU,Technology,0.56,54397935616,2336507000,972773000,214559000,0.817375,
ENPH,Technology,0.4167,23800248320,1200102000,401907000,195776000,1.145108,260.60922
ETSY,Consumer Cyclical,0.528,23488634880,2404489000,1198042000,676631000,1.548913,52.485092
FB,Communication Services,0.237,967941029888,159316000000,no data,23632000000,1.3,29.249422
GS,Financial,0.168,125294026752,1163028000000,514604000000,-20037000000,1.494021,9.160167
HD,Consumer Cyclical,0.1057,333470236672,70581000000,41563000000,16376000000,1.048913,22.862661
JPM,Financial,0.0128,466329403392,3386071000000,783300000000,no data,1.191847,12.219401
LMT,Industrials,0.0511,106173579264,50710000000,15606000000,6417000000,0.980978,15.414195
MCD,Consumer Cyclical,0.2043,173425770496,52626800000,39813100000,4624400000,0.627717,33.72805
MSFT,Technology,0.1673,1996016582656,301311000000,73357000000,45234000000,0.78913,36.116108
NKE,Consumer Cyclical,0.406,243868385280,37740000000,15945000000,no data,0.853804,43.356743
NVAX,Heathcare,0,14062375936,1582479000,574147000,-97163000,1.554891,
NVDA,Technology,0.2684,474252509184,28791000000,7481000000,4694000000,1.366847,89.98109
PYPL,Financial,0.2352,340201799680,70379000000,11068000000,4988000000,1.157065,65.99818
QCOM,Technology,0.2729,155269185536,35594000000,18648000000,4407000000,1.341304,19.712158
SPOT,Communication Services,NA,50872721408,6326000000,no data,181000000,1.518669,
SPY,Financial,NA,391534968832,no data,no data,no data,,
SQ,Technology,0.5641,109261234176,9869550000,3230475000,243201000,2.416304,335.58044
TGT,Consumer Defensive,0.1145,119005855744,51248000000,14153000000,7876000000,1.003804,19.639942
TQQQ,Financial,NA,,no data,no data,no data,,
UNP,Industrials,0.1323,146990317568,62398000000,27654000000,5613000000,1.136413,28.635952
V,Financial,0.1884,522191798272,80919000000,26494000000,9704000000,0.996195,49.05333
XOM,Energy,0.1014,273740726272,332750000000,70540000000,-2614000000,1.407065,
ZM,Consumer Cyclical,0.1538,109746798592,5297993000,no data,1391205000,-1.482678,128.43793
